reward: 0.2636, epoch: 0, params: 2476883, epoch_time: 54.3999, genotype: [[6, [0, 0, 3, 1], [1, 0, 8, 0], [6, 2, 7, 0]], [[3, 0], [3, 1], [2, 1]]]
reward: 0.2803, epoch: 1, params: 2418643, epoch_time: 52.2319, genotype: [[10, [0, 0, 5, 5], [3, 3, 8, 0], [6, 6, 8, 9]], [[0, 1], [1, 2], [5, 2]]]
reward: 0.2677, epoch: 2, params: 2263891, epoch_time: 49.7047, genotype: [[0, [0, 0, 0, 2], [1, 0, 0, 7], [5, 5, 7, 5]], [[3, 3], [4, 3], [0, 3]]]
reward: 0.3596, epoch: 3, params: 2856403, epoch_time: 68.4369, genotype: [[1, [0, 0, 0, 6], [3, 2, 8, 6], [0, 2, 7, 1]], [[3, 0], [4, 1], [4, 4]]]
reward: 0.2399, epoch: 4, params: 2373459, epoch_time: 50.7833, genotype: [[4, [0, 0, 9, 7], [3, 2, 9, 9], [4, 2, 6, 5]], [[1, 2], [4, 1], [5, 4]]]
reward: 0.1629, epoch: 5, params: 2059731, epoch_time: 56.7113, genotype: [[3, [0, 0, 4, 3], [0, 3, 10, 8], [1, 6, 2, 4]], [[1, 3], [1, 3], [4, 5]]]
reward: 0.2646, epoch: 6, params: 2244691, epoch_time: 67.6561, genotype: [[8, [0, 0, 4, 0], [2, 2, 2, 6], [4, 0, 10, 2]], [[1, 0], [1, 3], [5, 1]]]
reward: 0.2832, epoch: 7, params: 2441299, epoch_time: 82.4031, genotype: [[2, [0, 0, 3, 5], [0, 2, 5, 4], [4, 0, 10, 7]], [[3, 0], [4, 1], [3, 1]]]
reward: 0.2711, epoch: 8, params: 2453587, epoch_time: 206.2067, genotype: [[4, [0, 0, 5, 2], [1, 1, 4, 0], [6, 1, 4, 1]], [[2, 0], [0, 1], [4, 3]]]
reward: 0.2234, epoch: 9, params: 2466643, epoch_time: 62.8257, genotype: [[4, [0, 0, 2, 1], [2, 0, 0, 6], [1, 0, 8, 7]], [[0, 2], [3, 2], [3, 5]]]
reward: 0.2159, epoch: 10, params: 2218707, epoch_time: 46.6917, genotype: [[6, [0, 0, 7, 7], [2, 2, 8, 10], [1, 5, 10, 2]], [[3, 2], [1, 4], [5, 3]]]
reward: 0.2481, epoch: 11, params: 2256979, epoch_time: 79.0568, genotype: [[4, [0, 0, 3, 8], [2, 0, 3, 10], [1, 2, 0, 6]], [[0, 2], [3, 3], [5, 0]]]
reward: 0.2476, epoch: 12, params: 2233683, epoch_time: 52.1441, genotype: [[0, [0, 0, 4, 3], [2, 3, 0, 0], [0, 5, 10, 1]], [[1, 3], [4, 3], [5, 4]]]
reward: 0.2245, epoch: 13, params: 2231635, epoch_time: 51.3467, genotype: [[0, [0, 0, 0, 0], [1, 0, 0, 1], [0, 6, 2, 10]], [[1, 2], [4, 2], [1, 0]]]
